pay_method,order_hour_of_day,days_since_prior_order,Total_Price,total_barang,time_pickup_sec,time_service_sec
2,7,30,263.69,46,2149,195
3,7,27,14.98,2,191,322
2,7,19,39.84,9,432,295
2,7,30,47.66,8,534,194
3,7,30,33.4,6,376,178
2,7,9,56.05,9,375,353
3,7,19,102.7,16,795,307
3,7,30,35.61,5,41,510
3,7,0,29.83,5,354,260
3,7,4,48.55,9,509,182
2,7,4,38.01,7,436,191
3,7,30,48.11,9,508,224
2,7,28,133.79,24,1171,232
2,7,9,104.59,16,809,187
2,7,10,38.2,7,404,215
1,7,7,201.92,33,1357,465
2,7,2,109.55,17,937,188
1,7,9,13.48,2,254,183
1,7,8,97.19,14,846,146
2,7,30,4.19,1,253,146
1,7,5,84.8,13,646,261
3,7,30,41.73,4,323,171
2,7,19,83.44,13,679,242
3,7,30,30.69,5,276,267
1,7,12,3.49,1,193,214
2,7,30,20.97,3,374,178
3,7,4,122.39,14,784,167
2,7,24,4.29,1,222,198
1,7,7,45.39,7,557,129
1,7,16,123.77,20,1023,215
3,7,12,58.29,11,653,127
3,7,30,52.35,6,448,154
1,7,21,8.46,2,360,141
1,7,11,141.89,25,1237,213
1,7,4,80.35,12,674,254
2,7,4,56.97,11,252,455
2,7,30,13.98,2,86252,600
1,7,13,107.21,17,814,305
3,7,4,114.46,17,892,254
1,7,22,127.75,17,859,314
3,7,15,62.88,9,568,148
1,7,16,64.82,11,589,252
1,7,8,146.98,19,1081,135
1,7,13,72.72,13,654,280
2,7,2,164.39,24,1158,243
1,7,7,211.27,35,1638,348
3,7,7,35.32,5,236,368
3,7,30,32.94,5,198,285
2,7,15,83.24,14,794,162
1,7,12,195.17,32,1467,132
3,7,12,54.4,9,487,259
1,7,30,352.53,50,2277,209
3,7,14,34.6,5,348,231
2,7,21,36.94,6,497,158
3,7,7,27.98,2,70,396
1,7,30,34.74,4,375,162
2,7,8,36.29,7,259,385
1,7,30,8.87,2,298,167
3,7,30,22.05,4,330,212
3,7,17,179.89,26,1229,171
3,7,3,43.96,7,499,143
3,7,15,21.77,2,275,179
3,7,15,14.98,2,328,136
3,7,7,327.15,51,2405,138
2,7,2,75.78,12,708,136
1,7,11,76.69,12,423,402
2,7,4,37.34,6,441,145
2,7,30,41.14,7,454,238
2,7,2,37.81,8,178,565
2,7,12,47.95,6,102,499
2,7,30,42.42,7,513,200
1,7,28,74.94,9,517,202
3,7,0,15.48,2,313,137
2,7,7,196.9,27,1226,302
3,7,21,131.16,22,1067,178
2,7,30,17.66,3,336,170
3,7,23,81.48,2,285,169
3,7,2,8.99,1,181,197
3,7,30,98.35,20,1012,205
2,7,19,19.77,3,327,182
3,7,30,42.95,5,105,649
1,7,28,57.78,11,420,365
2,7,10,94.96,12,732,159
3,7,16,21.66,4,500,134
3,7,12,88.64,13,673,214
3,7,7,89.86,12,443,387
3,7,5,54.42,8,442,141
3,8,6,22.17,5,342,253
3,8,6,105.22,15,769,302
3,8,30,29.93,5,338,258
2,8,30,56.3,8,490,207
3,8,4,118.09,19,960,195
3,8,6,4.98,1,179,138
2,8,30,133.29,21,1088,128
2,8,12,159.8,21,1033,188
1,8,9,88.87,12,684,215
3,8,6,182.88,20,1125,186
3,8,14,91.11,15,810,145
1,8,12,252.19,38,1678,214
1,8,14,122.68,18,937,208
3,8,24,40.08,4,225,266
3,8,2,44.7,7,432,223
2,8,15,102.43,15,603,378
2,8,7,107.59,16,882,135
3,8,4,29.25,5,298,298
2,8,30,47.78,9,475,279
3,8,30,5.5,1,217,194
1,8,30,82.4,10,644,166
3,8,1,144.18,22,1021,190
2,8,4,61.91,9,605,135
1,8,7,14.38,2,251,128
2,8,15,204.93,25,1276,188
1,8,4,141.86,24,1152,270
1,8,30,36.09,6,420,191
3,8,7,44.74,7,277,368
2,8,30,8.76,2,156,260
2,8,4,30.71,7,450,208
3,8,17,92.71,14,805,142
3,8,3,75.79,12,478,374
3,8,6,17.67,3,326,169
2,8,14,29.75,4,373,172
1,8,30,50.5,10,476,332
2,8,9,135.92,17,961,157
2,8,6,16.98,2,365,128
1,8,7,48.94,6,310,283
2,8,9,10.58,2,155,285
3,8,18,46.07,7,498,143
3,8,30,8.38,2,218,214
1,8,7,67.68,9,441,264
3,8,5,169.5,24,1080,281
2,8,16,4.98,1,135,262
2,8,6,12.87,3,391,147
3,8,30,11.54,3,383,162
3,8,23,42.87,7,58,546
3,8,14,31.98,2,219,186
3,8,15,29.2,5,343,204
3,8,10,47.94,6,399,141
1,8,8,38.12,6,277,283
2,8,19,92.8,17,989,138
3,8,30,42.07,6,417,149
1,8,14,193.4,28,1173,410
3,8,22,27.96,4,306,187
1,8,14,259.82,42,1893,231
2,8,14,20.52,5,376,146
3,8,15,294.25,19,1020,281
1,8,8,164.09,25,1236,196
3,8,30,102.27,15,883,172
3,8,6,93.17,15,732,256
2,8,30,71.08,9,588,251
1,8,29,205.88,29,1446,196
3,8,2,48.0,7,442,189
3,8,9,53.92,11,449,438
1,8,21,73.56,9,607,217
2,8,21,59.43,7,492,174
3,8,30,55.55,8,365,315
3,8,7,61.32,8,470,309
3,8,30,87.74,12,704,172
3,8,30,15.88,2,234,184
3,8,10,161.78,28,1256,316
2,8,27,6.39,1,42,286
1,8,30,72.79,10,389,387
1,8,18,36.81,6,435,213
2,8,30,105.9,16,839,244
1,8,30,15.86,4,423,198
1,8,30,19.98,2,62,368
2,8,8,51.72,8,483,214
2,8,30,58.31,9,258,583
3,8,26,24.26,5,390,218
2,8,8,77.76,15,864,227
1,8,10,59.69,8,472,234
1,8,22,253.36,40,1936,226
2,8,29,54.02,11,809,131
1,8,1,98.35,16,615,478
3,8,20,96.71,15,842,186
2,8,28,194.39,31,1603,125
1,8,30,85.59,15,878,142
3,8,19,160.62,26,1398,156
1,8,22,169.25,28,1370,207
3,8,1,62.88,9,489,199
3,8,8,32.62,6,443,215
2,8,30,4.19,1,315,125
2,8,1,74.1,11,572,258
3,8,30,41.44,8,246,391
3,8,14,7.49,1,224,191
3,8,10,157.12,24,1054,387
2,8,10,83.05,14,530,425
1,8,20,261.02,33,1575,233
3,8,9,67.49,8,459,309
2,8,5,66.71,13,635,264
3,8,2,85.75,14,823,144
2,8,16,15.98,2,8,420
3,8,6,400.98,44,2096,156
3,8,28,103.75,17,845,297
3,8,30,145.8,19,1000,197
3,8,10,52.58,8,666,127
3,8,30,4.98,1,210,179
2,8,30,79.68,13,788,140
3,8,28,60.85,11,566,295
2,8,30,123.56,14,708,211
1,8,8,116.55,20,1045,197
2,8,30,7.58,2,311,173
3,8,30,18.95,3,353,125
3,8,5,41.05,9,471,296
1,8,20,72.75,9,610,151
2,8,13,39.37,6,495,191
1,8,5,102.74,15,960,132
1,8,29,45.76,8,480,255
3,8,4,6.18,2,185,283
1,8,10,199.68,30,1486,196
3,8,8,163.66,25,1068,293
3,8,17,7.99,1,210,195
3,8,10,74.9,12,766,137
3,8,24,120.59,17,699,357
3,8,21,308.44,43,2103,149
1,8,30,43.44,6,237,356
3,8,14,156.21,24,1285,160
1,8,1,42.6,6,414,219
2,8,11,79.43,8,240,448
2,8,12,50.87,9,573,131
3,8,30,92.85,8,454,228
2,8,9,15.48,2,82,392
2,8,30,59.67,11,676,250
1,8,14,70.29,10,596,191
2,8,30,138.83,9,545,246
1,8,30,39.48,3,225,236
1,8,2,18.07,2,202,274
2,8,30,36.91,9,632,213
3,8,0,35.18,4,361,170
1,8,14,46.51,7,447,188
3,8,7,136.27,19,945,198
2,8,30,47.82,7,399,273
2,8,8,59.07,10,633,159
3,8,14,42.34,6,46,562
1,8,14,132.08,19,852,291
3,8,30,93.4,17,888,172
1,8,6,228.9,32,1513,271
2,8,14,54.58,10,260,440
3,8,18,6.39,1,100,267
1,8,30,83.12,13,737,187
3,8,7,104.37,16,809,216
3,8,5,12.33,2,263,202
3,8,3,36.89,8,486,189
2,8,6,4.98,1,206,195
2,8,30,155.14,16,891,242
2,8,25,100.77,16,946,135
1,8,4,62.9,8,434,230
2,8,15,47.44,8,404,333
1,8,28,77.76,15,778,196
2,8,30,47.61,8,576,128
2,8,7,116.13,19,1015,209
2,8,28,36.91,6,514,139
3,8,3,17.54,4,314,192
3,8,30,145.24,19,975,245
1,8,3,56.76,8,333,321
3,8,7,39.35,8,431,265
3,8,5,29.63,4,6,559
3,8,30,74.46,10,539,206
3,8,6,251.81,35,1603,170
2,8,23,86.0,14,740,179
3,8,10,102.84,15,821,210
1,8,30,147.87,21,1112,225
1,8,9,60.14,8,269,443
1,8,30,169.66,23,1003,162
3,8,27,186.69,20,1056,221
2,8,0,9.78,2,216,222
3,8,28,63.71,10,647,164
3,8,3,27.41,4,228,296
3,8,1,14.86,4,301,275
1,8,22,81.8,12,743,133
3,8,30,74.25,13,624,227
2,8,1,29.96,4,218,276
2,8,21,10.18,2,225,182
3,8,24,33.8,7,520,139
3,8,30,47.24,8,481,236
1,8,7,88.89,14,733,172
2,8,8,18.55,3,235,222
1,8,4,56.96,10,380,392
1,8,7,92.89,13,701,166
1,8,4,70.55,12,693,151
1,8,17,171.45,29,1331,187
3,8,9,40.3,7,420,267
2,8,8,206.67,17,749,304
1,8,7,59.47,9,217,490
3,8,30,4.49,1,87,307
2,8,15,156.7,27,1273,262
2,8,30,14.37,3,210,262
3,8,14,34.56,5,220,341
2,8,5,49.72,6,320,286
3,8,13,20.57,4,388,148
2,8,30,32.07,5,428,191
1,8,8,25.1,3,316,166
3,8,6,21.47,3,249,228
2,8,20,57.22,9,517,153
2,8,14,32.48,4,195,313
2,8,30,148.87,22,1098,200
2,8,7,12.81,1,232,177
2,8,16,41.51,8,501,125
3,8,16,109.42,15,844,154
3,8,27,84.21,11,648,162
1,8,8,76.54,10,433,338
1,8,6,123.68,19,950,187
3,8,7,58.31,13,797,134
3,8,29,70.1,10,514,251
1,8,30,122.42,15,624,395
1,8,4,21.04,4,314,167
3,8,8,126.17,20,1039,132
3,8,2,52.6,5,163,432
1,8,7,49.73,7,508,196
3,8,30,46.59,7,486,171
1,8,7,39.96,4,283,209
1,8,7,174.01,23,1305,131
2,8,30,68.17,10,532,228
1,8,7,73.67,11,548,257
3,8,3,20.95,5,193,418
2,8,30,143.67,24,1215,154
1,8,21,116.0,14,828,138
3,8,14,90.11,15,814,139
1,8,30,59.87,11,471,351
3,8,6,11.25,2,160,216
3,8,30,14.49,2,247,172
3,8,30,18.97,3,352,165
1,8,7,63.82,8,419,207
3,8,30,28.79,4,302,234
3,8,5,13.78,1,91,278
1,8,7,98.83,14,683,261
2,8,30,8.58,2,239,232
1,8,5,53.02,8,451,240
2,8,30,71.41,12,710,128
1,8,30,68.39,10,629,171
3,8,7,142.06,18,799,286
1,8,24,97.89,17,823,209
1,8,8,99.88,14,716,153
1,9,5,207.36,20,853,396
3,9,7,26.16,5,433,124
1,9,30,21.35,4,364,140
3,9,21,42.46,8,490,227
2,9,30,96.55,13,643,240
3,9,2,38.81,6,389,200
2,9,30,59.61,10,578,180
1,9,30,31.62,5,177,352
3,9,30,12.23,2,130,278
2,9,30,11.08,1,208,180
1,9,30,18.58,2,282,136
3,9,30,11.08,1,216,161
3,9,30,67.97,10,472,325
3,9,30,42.35,7,392,213
2,9,28,94.11,18,783,294
1,9,28,79.51,12,662,140
2,9,7,96.24,12,646,227
1,9,6,31.55,4,193,283
1,9,9,120.48,18,963,130
3,9,28,104.74,15,694,292
2,9,21,71.87,10,445,306
1,9,7,32.51,7,328,314
2,9,15,7.12,2,249,199
3,9,23,98.05,18,1004,127
3,9,4,31.2,6,319,289
3,9,9,10.98,2,167,263
1,9,18,64.75,11,686,130
1,9,12,59.83,11,590,134
1,9,6,36.39,7,460,168
3,9,7,125.64,19,1018,179
2,9,12,48.71,8,343,297
3,9,5,9.69,2,277,128
1,9,9,177.11,28,1427,166
1,9,30,59.47,6,399,215
2,9,30,9.98,2,134,280
3,9,30,4.29,1,172,207
2,9,13,73.78,12,673,150
1,9,10,3.89,1,167,222
1,9,15,88.6,15,756,261
3,9,30,108.68,18,976,157
1,9,30,122.39,19,1013,216
3,9,30,17.89,1,157,220
2,9,9,63.37,9,509,227
3,9,30,87.86,12,711,138
2,9,30,40.24,4,347,134
1,9,27,57.75,11,419,310
1,9,18,142.9,12,585,200
2,9,30,4.19,1,144,241
3,9,23,38.53,5,330,258
3,9,9,13.57,3,306,143
3,9,3,54.15,8,571,128
3,9,30,4.98,1,151,213
2,9,3,51.52,7,506,180
3,9,30,4.19,1,255,138
1,9,30,90.27,12,679,179
2,9,7,105.92,18,1026,130
2,9,30,11.97,2,230,179
3,9,30,181.05,19,980,322
3,9,18,184.8,27,1402,200
1,9,8,119.86,17,907,151
1,9,19,8.78,2,158,305
2,9,12,252.61,32,1546,193
1,9,14,92.25,15,772,177
1,9,11,63.94,10,594,145
1,9,19,94.81,15,809,189
1,9,30,5.98,1,169,201
3,9,1,23.79,3,320,214
2,9,13,88.42,16,704,341
1,9,17,35.71,6,319,231
2,9,30,251.99,30,1482,227
1,9,8,104.7,17,811,251
1,9,21,81.45,14,537,438
2,9,14,45.94,6,370,139
2,9,8,45.79,8,431,264
1,9,28,49.68,5,298,181
1,9,7,189.57,22,875,460
2,9,30,28.63,5,319,192
3,9,19,51.04,6,414,215
3,9,30,105.55,17,903,178
3,9,8,41.61,5,295,306
1,9,8,86.7,10,633,155
1,9,30,49.0,7,508,160
2,9,30,63.86,9,547,216
1,9,14,20.77,3,228,256
1,9,18,22.94,4,243,280
3,9,30,78.64,14,775,127
1,9,15,44.14,4,424,148
1,9,18,202.38,34,1334,452
3,9,8,80.15,7,338,323
1,9,30,110.25,15,871,154
1,9,28,72.33,13,803,194
1,9,30,51.93,4,194,376
3,9,21,113.33,19,859,274
2,9,30,28.96,4,277,298
3,9,6,60.82,10,575,159
2,9,5,163.09,22,1124,274
2,9,30,99.41,13,657,271
3,9,30,27.56,2,194,259
1,9,30,121.83,15,789,209
2,9,30,76.37,8,497,188
3,9,16,244.65,35,1787,138
1,9,7,31.7,5,253,264
2,9,30,31.35,5,122,444
1,9,30,82.03,13,726,143
1,9,30,199.09,28,1340,198
3,9,30,21.36,4,366,168
2,9,8,206.78,28,1403,146
1,9,28,6.99,1,200,199
1,9,7,48.72,7,484,180
2,9,11,27.77,6,488,187
2,9,26,43.9,7,429,240
1,9,9,21.26,4,376,161
1,9,30,142.56,22,1182,128
3,9,29,56.18,10,642,178
3,9,15,23.78,4,255,262
3,9,30,90.06,15,706,218
2,9,30,34.27,3,142,299
1,9,30,39.83,6,369,287
2,9,8,88.17,12,371,443
2,9,6,33.73,6,299,367
2,9,30,24.24,5,299,246
1,9,19,41.07,6,177,457
2,9,30,12.87,3,311,168
2,9,16,62.84,11,452,365
3,9,30,35.18,4,309,160
1,9,5,57.52,11,718,139
3,9,5,44.97,7,495,189
3,9,3,9.38,2,174,275
3,9,12,51.31,8,274,382
3,9,26,90.02,15,640,377
3,9,24,87.75,13,689,217
3,9,8,61.5,11,582,248
1,9,30,75.64,12,601,273
1,9,27,150.4,26,1269,180
1,9,28,123.01,22,1074,186
1,9,30,58.42,7,419,225
1,9,8,30.94,2,281,196
2,9,18,64.27,10,641,192
3,9,5,123.27,20,929,205
3,9,6,40.44,6,453,152
1,9,8,70.16,10,537,213
2,9,6,112.16,18,910,208
1,9,30,26.16,6,401,168
1,9,29,27.96,4,390,151
3,9,2,58.49,6,424,210
2,9,12,66.03,11,665,220
1,9,1,23.82,3,384,153
1,9,15,59.73,9,570,204
3,9,7,74.94,11,621,156
2,9,7,147.98,8,567,163
3,9,17,41.25,5,388,144
1,9,29,194.22,31,1397,227
2,9,13,117.42,15,805,183
1,9,8,63.69,8,452,234
3,9,0,63.97,10,586,190
2,9,9,192.99,28,1314,138
2,9,30,24.32,5,354,191
1,9,30,91.24,12,649,234
1,9,13,132.02,16,654,422
3,9,30,34.37,7,427,227
1,9,30,98.78,13,590,281
1,9,21,91.36,12,615,250
1,9,30,103.86,12,662,197
2,9,6,9.68,2,150,249
3,9,23,219.98,30,1437,290
1,9,10,57.99,8,310,347
1,9,11,54.28,9,567,140
1,9,29,23.15,5,390,197
3,9,0,5.98,1,141,277
2,9,0,52.21,9,518,214
3,9,7,27.22,6,448,179
2,9,7,289.58,28,1402,245
2,9,2,36.94,5,377,218
3,9,6,119.07,18,933,169
3,9,11,227.92,25,1107,254
1,9,20,115.93,14,735,242
1,9,12,80.59,12,494,448
2,9,6,8.12,1,253,166
1,9,30,123.91,19,982,163
1,9,8,48.41,7,463,154
2,9,28,124.6,13,607,383
1,9,25,13.28,2,13,423
2,9,30,24.36,4,320,197
1,9,30,57.64,10,487,261
1,9,14,235.64,35,1513,373
1,9,18,102.75,13,888,149
2,9,29,94.44,13,794,125
2,9,25,46.38,10,401,351
2,9,2,14.51,2,166,275
3,9,30,140.72,23,1138,167
2,9,30,75.24,13,692,299
3,9,22,23.97,3,214,219
3,9,7,163.27,25,1120,333
1,9,4,67.03,10,576,176
2,9,14,31.4,4,362,133
3,9,21,23.84,5,331,277
2,9,26,37.9,5,397,222
3,9,29,130.21,9,421,260
1,9,27,58.87,9,563,145
3,9,0,12.75,3,338,156
1,9,30,88.68,9,439,383
3,9,7,115.09,20,972,335
1,9,1,18.94,3,379,138
2,9,3,94.95,13,670,133
1,9,10,117.74,17,871,215
1,9,12,119.13,19,732,337
2,9,9,59.48,11,576,214
1,9,30,81.53,13,540,319
3,9,24,117.8,19,1014,230
2,9,10,6.98,2,197,265
1,9,14,54.34,10,522,247
3,9,3,6.39,1,86395,411
3,9,30,73.81,14,861,162
2,9,30,48.59,6,425,164
2,9,30,16.85,3,331,153
1,9,4,42.63,6,396,246
2,9,30,4.49,1,139,328
3,9,30,12.68,3,161,312
3,9,11,16.92,2,268,225
3,9,1,99.92,19,858,283
3,9,30,21.26,5,357,206
2,9,19,53.24,8,445,252
1,9,19,48.3,8,516,166
1,9,14,28.01,6,479,151
3,9,6,155.05,23,1141,276
1,9,30,15.88,2,297,150
3,9,30,29.07,5,338,207
3,9,3,87.31,15,705,244
3,9,10,84.51,15,907,132
3,9,14,17.89,1,156,240
3,9,3,5.99,1,145,240
3,9,30,43.6,7,494,141
3,9,9,164.15,22,914,247
2,9,30,72.72,11,721,132
3,9,22,60.59,9,355,270
2,9,15,45.45,10,512,250
1,9,11,7.77,3,56,447
3,9,10,28.36,5,229,327
2,9,30,49.24,8,536,131
3,9,30,127.08,20,1027,221
1,9,14,111.82,18,779,381
1,9,20,88.66,14,862,129
1,9,30,90.31,13,710,194
2,9,7,7.75,2,144,298
3,9,4,140.47,18,974,138
1,9,3,145.72,22,1081,147
1,9,30,34.36,4,324,175
3,9,4,171.48,22,999,178
1,9,5,27.51,5,324,167
2,9,6,158.68,24,940,410
2,9,6,64.08,10,493,342
3,9,6,88.98,13,849,133
1,9,22,127.61,14,546,393
3,9,10,83.02,12,682,175
3,9,1,57.48,8,251,371
2,9,21,15.36,3,264,204
3,9,30,85.65,17,877,205
3,9,3,17.92,2,73,306
3,9,30,123.83,21,835,383
3,9,14,123.77,21,1159,134
2,9,14,43.06,6,474,178
3,9,30,43.54,7,540,146
1,9,30,70.13,11,581,252
2,9,30,119.18,19,1081,158
3,9,30,33.35,6,386,275
1,9,21,73.61,13,566,319
3,9,18,137.89,19,937,161
1,9,6,3.49,1,256,133
2,9,4,62.1,11,730,129
1,9,1,63.96,9,585,162
3,9,30,472.43,7,660,127
2,9,18,24.02,4,285,212
1,9,30,86.01,15,852,134
2,9,9,97.32,15,835,149
3,9,25,171.98,26,1314,190
3,9,30,47.68,9,421,347
3,9,1,5.94,1,244,163
3,9,10,4.29,1,189,203
3,9,30,168.99,28,1437,156
3,9,30,5.47,1,150,217
1,9,30,60.75,9,633,132
3,9,13,240.49,26,1261,261
3,9,6,60.97,9,630,130
2,9,12,177.12,10,661,141
3,9,10,11.5,2,180,346
3,9,29,141.07,24,1064,268
1,9,1,10.74,3,316,191
3,9,18,4.89,1,62,382
3,9,9,74.89,10,417,297
1,9,30,22.4,5,396,178
2,9,30,16.37,2,186,245
3,9,21,40.61,8,476,207
3,9,6,13.48,2,135,259
1,9,8,14.87,3,197,307
3,9,9,28.93,4,325,236
2,9,2,22.5,3,327,160
3,9,28,52.94,7,247,310
3,9,2,11.69,1,216,203
3,9,30,65.21,14,608,314
3,9,2,105.75,18,935,148
3,9,7,173.74,29,1352,283
1,9,4,144.68,21,1087,260
1,9,21,102.21,15,625,378
2,9,21,245.15,29,1486,154
1,9,30,86.85,16,806,170
1,9,30,33.51,6,344,224
2,9,20,24.67,5,366,207
1,9,13,269.27,32,1519,227
3,9,9,4.49,1,179,224
3,9,3,145.23,23,1153,205
1,9,30,102.87,12,771,140
3,9,30,48.49,9,538,241
3,9,3,67.64,10,665,188
3,9,30,8.98,1,250,153
1,9,30,104.91,16,862,156
2,9,4,47.53,6,482,180
2,9,17,66.67,11,550,315
3,9,18,7.98,2,257,149
2,9,8,81.2,13,694,153
3,9,30,52.74,7,459,192
2,9,11,179.65,27,1303,160
3,9,4,51.29,7,491,175
1,9,30,49.55,8,401,368
3,9,4,76.68,12,695,177
1,9,3,45.09,7,445,212
1,10,21,90.6,15,837,150
3,10,2,39.62,5,289,307
3,10,5,84.51,15,777,192
1,10,30,26.09,5,444,148
2,10,29,21.42,3,406,129
1,10,5,11.67,2,2,398
1,10,20,99.54,17,730,326
3,10,30,20.95,3,280,246
